name,age,movie,popcorn,snack,drink,times,payment
박승민,30,시민덕희,어니언,맛밤,환타,일반,삼성페이
김승현,20,위시,어니언,구매안함,콜라,일반,신용카드
한성수,20,외계인,구매안함,구매안함,에이드,일반,삼성페이
안선영,20,너의 이름은,일반,구매안함,환타,일반,신용카드
하성호,40,외계인,치즈,나초,제로콜라,심야,삼성페이
김성훈,20,윙카,카라멜,오징어,에이드,일반,신용카드
김은주,50,외계인,구매안함,나초,환타,일반,신용카드
김준영,50,시민덕희,일반,구매안함,물,일반,삼성페이
김민준,60,도그맨,구매안함,맛밤,에이드,일반,체크카드
문현정,20,윙카,치즈,구매안함,물,조조,삼성페이
김영호,20,시민덕희,카라멜,구매안함,에이드,조조,카카오페이
손재호,50,외계인,구매안함,나초,콜라,일반,신용카드
김영철,20,시민덕희,구매안함,핫도그,물,일반,삼성페이
김수민,30,너의 이름은,구매안함,구매안함,물,일반,삼성페이
이영환,30,윙카,구매안함,구매안함,제로콜라,심야,삼성페이
한정숙,40,너의 이름은,구매안함,구매안함,제로콜라,일반,신용카드
이준호,30,시민덕희,어니언,구매안함,콜라,심야,삼성페이
문민석,20,외계인,치즈,구매안함,물,일반,삼성페이
김동현,30,윙카,어니언,구매안함,스프라이트,일반,삼성페이
이수민,20,시민덕희,구매안함,구매안함,에이드,일반,삼성페이
최영수,20,외계인,치즈,구매안함,환타,일반,신용카드
권지혜,60,도그맨,카라멜,구매안함,환타,조조,삼성페이
이지후,40,너의 이름은,치즈,구매안함,환타,심야,삼성페이
김영호,50,도그맨,일반,나초,제로콜라,심야,삼성페이
박정숙,50,시민덕희,구매안함,구매안함,에이드,조조,신용카드
김보람,30,도그맨,일반,핫도그,콜라,조조,신용카드
안정수,20,윙카,치즈,구매안함,스프라이트,조조,삼성페이
조수민,50,시민덕희,어니언,핫도그,에이드,조조,신용카드
김중수,20,외계인,카라멜,구매안함,물,심야,삼성페이
권지후,20,윙카,치즈,나초,제로콜라,조조,삼성페이
